game_date,away_team,home_team,away_points,home_points,away_main_10,home_main_10
2025-10-27,PHX,UTA,134,138,Collin Gillespie; Royce O'Neale; Devin Booker; Oso Ighodaro; Dillon Brooks; Jordan Goodwin; Grayson Allen; Mark Williams; Ryan Dunn; Jalen Green,Ace Bailey; Kyle Filipowski; Keyonte George; Brice Sensabaugh; Cody Williams; Isaiah Collier; Lauri Markkanen; Svi Mykhailiuk; Jusuf Nurkić; Walter Clayton
2025-10-27,POR,LAL,122,108,Toumani Camara; Deni Avdija; Donovan Clingan; Jerami Grant; Jrue Holiday; Shaedon Sharpe; Sidy Cissoko; Kris Murray; Caleb Love; Robert Williams,Luka Dončić; Jake LaRavia; LeBron James; Deandre Ayton; Rui Hachimura; Marcus Smart; Austin Reaves; Jaxson Hayes; Jarred Vanderbilt; Luke Kennard
2025-10-27,TOR,SAS,103,121,Scottie Barnes; Brandon Ingram; Immanuel Quickley; Jamal Shead; Sandro Mamukelashvili; RJ Barrett; Ja'Kobe Walter; Collin Murray-Boyles; Jakob Poeltl; Gradey Dick,Julian Champagnie; De'Aaron Fox; Devin Vassell; Stephon Castle; Harrison Barnes; Keldon Johnson; Victor Wembanyama; Dylan Harper; Luke Kornet; Carter Bryant
2025-10-28,CHA,MIA,117,144,Kon Knueppel; Miles Bridges; LaMelo Ball; Brandon Miller; Moussa Diabaté; Sion James; Ryan Kalkbrenner; Collin Sexton; Josh Green; Grant Williams,Bam Adebayo; Jaime Jaquez Jr.; Andrew Wiggins; Davion Mitchell; Pelle Larsson; Norman Powell; Kel'el Ware; Simone Fontecchio; Dru Smith; Tyler Herro
2025-10-28,LAC,GSW,79,98,Kris Dunn; Kawhi Leonard; John Collins; Brook Lopez; James Harden; Kobe Sanders; Derrick Jones Jr.; Ivica Zubac; Jordan Miller; Nicolas Batum,Brandin Podziemski; Draymond Green; Moses Moody; Gui Santos; Will Richard; Stephen Curry; Pat Spencer; Jimmy Butler; Quinten Post; Gary Payton II
2025-10-28,NYK,MIL,111,121,Mikal Bridges; Jalen Brunson; Karl-Anthony Towns; OG Anunoby; Josh Hart; Jordan Clarkson; Mitchell Robinson; Landry Shamet; Miles McBride; Tyler Kolek,Ryan Rollins; A.J. Green; Myles Turner; Kyle Kuzma; Bobby Portis; Gary Trent Jr.; Jericho Sims; Kevin Porter Jr.; Giannis Antetokounmpo; Ousmane Dieng
2025-10-28,PHI,WAS,139,134,Tyrese Maxey; VJ Edgecombe; Quentin Grimes; Dominick Barlow; Kelly Oubre Jr.; Adem Bona; Andre Drummond; Joel Embiid; Paul George; Justin Edwards,Bub Carrington; Will Riley; Bilal Coulibaly; Tre Johnson; Kyshawn George; Justin Champagnie; Alex Sarr; CJ McCollum; Jamir Watkins; Anthony Gill
2025-10-28,SAC,OKC,101,107,DeMar DeRozan; Maxime Raynaud; Nique Clifford; Russell Westbrook; Precious Achiuwa; Malik Monk; Zach LaVine; Dennis Schröder; Dylan Cardwell; Daeqwon Plowden,Shai Gilgeous-Alexander; Cason Wallace; Chet Holmgren; Luguentz Dort; Isaiah Joe; Ajay Mitchell; Aaron Wiggins; Jaylin Williams; Isaiah Hartenstein; Alex Caruso
2025-10-29,ATL,BKN,117,112,Nickeil Alexander-Walker; Jalen Johnson; Dyson Daniels; Onyeka Okongwu; Zaccharie Risacher; CJ McCollum; Mouhamed Gueye; Vít Krejčí; Luke Kennard; Corey Kispert,Nic Claxton; Noah Clowney; Michael Porter Jr.; Terance Mann; Drake Powell; Egor Dёmin; Ziaire Williams; Nolan Traoré; Danny Wolf; Day'Ron Sharpe
2025-10-29,CLE,BOS,105,125,Donovan Mitchell; Evan Mobley; Jaylon Tyson; Jarrett Allen; Sam Merrill; Dean Wade; Craig Porter Jr.; De'Andre Hunter; Nae'Qwan Tomlin; James Harden,Derrick White; Payton Pritchard; Jaylen Brown; Sam Hauser; Neemias Queta; Baylor Scheierman; Jordan Walsh; Anfernee Simons; Luka Garza; Hugo González
2025-10-29,HOU,TOR,139,121,Amen Thompson; Kevin Durant; Jabari Smith Jr.; Alperen Sengun; Reed Sheppard; Tari Eason; Josh Okogie; Clint Capela; Aaron Holiday; Steven Adams,Scottie Barnes; Brandon Ingram; Immanuel Quickley; Jamal Shead; Sandro Mamukelashvili; RJ Barrett; Ja'Kobe Walter; Collin Murray-Boyles; Jakob Poeltl; Gradey Dick
2025-10-29,IND,DAL,105,107,Pascal Siakam; Jarace Walker; Andrew Nembhard; Jay Huff; Ben Sheppard; Aaron Nesmith; T.J. McConnell; Micah Potter; Quenton Jackson; Bennedict Mathurin,Cooper Flagg; Max Christie; Naji Marshall; P.J. Washington; Klay Thompson; Brandon Williams; Daniel Gafford; Ryan Nembhard; Dwight Powell; Caleb Martin
2025-10-29,LAL,MIN,116,115,Luka Dončić; Jake LaRavia; LeBron James; Deandre Ayton; Rui Hachimura; Marcus Smart; Austin Reaves; Jaxson Hayes; Jarred Vanderbilt; Luke Kennard,Julius Randle; Donte DiVincenzo; Rudy Gobert; Jaden McDaniels; Anthony Edwards; Naz Reid; Bones Hyland; Mike Conley; Jaylen Clark; Ayo Dosunmu
2025-10-29,MEM,PHX,114,113,Jaylen Wells; Cam Spencer; Cedric Coward; Jaren Jackson Jr.; Santi Aldama; GG Jackson II; Kentavious Caldwell-Pope; Jock Landale; Olivier-Maxence Prosper; Javon Small,Collin Gillespie; Royce O'Neale; Devin Booker; Oso Ighodaro; Dillon Brooks; Jordan Goodwin; Grayson Allen; Mark Williams; Ryan Dunn; Jalen Green
2025-10-29,NOP,DEN,88,122,Trey Murphy III; Saddiq Bey; Jeremiah Fears; Derik Queen; Zion Williamson; Herbert Jones; Yves Missi; Jordan Poole; Micah Peavy; Karlo Matković,Jamal Murray; Nikola Jokić; Tim Hardaway Jr.; Bruce Brown; Cameron Johnson; Peyton Watson; Spencer Jones; Christian Braun; Aaron Gordon; Jonas Valančiūnas
2025-10-29,ORL,DET,116,135,Desmond Bane; Paolo Banchero; Wendell Carter Jr.; Anthony Black; Tristan Da Silva; Jalen Suggs; Franz Wagner; Goga Bitadze; Noah Penda; Tyus Jones,Cade Cunningham; Duncan Robinson; Jalen Duren; Ausar Thompson; Tobias Harris; Ron Holland; Daniss Jenkins; Javonte Green; Isaiah Stewart; Caris LeVert
2025-10-29,POR,UTA,136,134,Toumani Camara; Deni Avdija; Donovan Clingan; Jerami Grant; Jrue Holiday; Shaedon Sharpe; Sidy Cissoko; Kris Murray; Caleb Love; Robert Williams,Ace Bailey; Kyle Filipowski; Keyonte George; Brice Sensabaugh; Cody Williams; Isaiah Collier; Lauri Markkanen; Svi Mykhailiuk; Jusuf Nurkić; Walter Clayton
2025-10-29,SAC,CHI,113,126,DeMar DeRozan; Maxime Raynaud; Nique Clifford; Russell Westbrook; Precious Achiuwa; Malik Monk; Zach LaVine; Dennis Schröder; Dylan Cardwell; Daeqwon Plowden,Matas Buzelis; Tre Jones; Josh Giddey; Isaac Okoro; Nikola Vučević; Patrick Williams; Ayo Dosunmu; Jalen Smith; Kevin Huerter; Coby White
2025-10-30,GSW,MIL,110,120,Brandin Podziemski; Draymond Green; Moses Moody; Gui Santos; Will Richard; Stephen Curry; Pat Spencer; Jimmy Butler; Quinten Post; Gary Payton II,Ryan Rollins; A.J. Green; Myles Turner; Kyle Kuzma; Bobby Portis; Gary Trent Jr.; Jericho Sims; Kevin Porter Jr.; Giannis Antetokounmpo; Ousmane Dieng
2025-10-30,MIA,SAS,101,107,Bam Adebayo; Jaime Jaquez Jr.; Andrew Wiggins; Davion Mitchell; Pelle Larsson; Norman Powell; Kel'el Ware; Simone Fontecchio; Dru Smith; Tyler Herro,Julian Champagnie; De'Aaron Fox; Devin Vassell; Stephon Castle; Harrison Barnes; Keldon Johnson; Victor Wembanyama; Dylan Harper; Luke Kornet; Carter Bryant
